STDID,STD_NAME,SEX,PERCENTAGE, CLASS,SEC,STREAM,DOB
1001,SUREKHA JOISHI, FEMALE,82,12,A,SCIENCE,03-08-1998
1002,MAAHI AGRAWAL,FEMALE,56,11,C,COMMERCE,11-23-2008
1003,SANAM VARMA,MALE,59,11,C,COMMERCE,6-29-2006
1004,RNIT KUMAR,MALE,63,11,C,COMMERCE,11-05-1997
]005,DIPESH PULKIT,MALE,78,11,B,COMMERCE,14-09-2003
1006,JHAHNVI PURI,FEMALE,60,11,B,SCIENCE,11-07-2008
1007,SANAM KUMAR,MALE,23,11,F,SCIENCE,03-08-1998
1008,SAHIL SARAS,MALE,56,12,C,COMMERCE,11-07-2008
1009,AKSHRA AGRAWAL,FEMALE,72,11,B,COMMERCE,10-01-1996
1010,STUTI MISHRA,FEMALE,39,12,B,SCIENCE,11-23-2008
1011,HARSH AGRAWAL,MALE,42,11,F,SCIENCE,03-08-1998
1012,NIKUNJ AGRAWAL,MALE,49,11,C,COMMERCE,28-06-1998
1013,AKRITI SAXENA ,FEMALE,89,12,C,COMMERCE,11-23-2008
1014,TANI RASTOGI ,FEMALE,82,12,A,SCIENCE,11-23-2008
